GeneID	GeneName	ka	ks	ka_div_ks_plus1
TCALIF_16612	TCALIF_16612	40	30	1.29032258065
TCALIF_16613	TCALIF_16613	62	74	0.826666666667
TCALIF_16610	TCALIF_16610	7	33	0.205882352941
TCALIF_16611	TCALIF_16611	41	7	5.125
TCALIF_16616	TCALIF_16616	106	151	0.697368421053
TCALIF_16617	TCALIF_16617	7	28	0.241379310345
TCALIF_16614	TCALIF_16614	8	55	0.142857142857
TCALIF_16615	TCALIF_16615	13	16	0.764705882353
TCALIF_02136	TCALIF_02136	28	49	0.56
TCALIF_02137	TCALIF_02137	4	17	0.222222222222
TCALIF_16618	TCALIF_16618	9	36	0.243243243243
TCALIF_16619	TCALIF_16619	2	8	0.222222222222
TCALIF_02132	TCALIF_02132	13	26	0.481481481481
TCALIF_02133	TCALIF_02133	25	91	0.271739130435
TCALIF_02130	TCALIF_02130	0	6	0.0
TCALIF_02131	TCALIF_02131	1	7	0.125
TCALIF_16348	TCALIF_16348	29	16	1.70588235294
TCALIF_03734	TCALIF_03734	52	70	0.732394366197
TCALIF_13398	TCALIF_13398	10	45	0.217391304348
TCALIF_13399	TCALIF_13399	42	44	0.933333333333
TCALIF_13306	TCALIF_13306	30	68	0.434782608696
TCALIF_13396	TCALIF_13396	163	107	1.50925925926
TCALIF_13397	TCALIF_13397	22	99	0.22
TCALIF_13390	TCALIF_13390	43	36	1.16216216216
TCALIF_04216	TCALIF_04216	30	81	0.365853658537
TCALIF_13393	TCALIF_13393	27	13	1.92857142857
TCALIF_16349	TCALIF_16349	19	17	1.05555555556
TCALIF_13304	TCALIF_13304	21	26	0.777777777778
TCALIF_13302	TCALIF_13302	3	19	0.15
TCALIF_06297	TCALIF_06297	26	19	1.3
TCALIF_06296	TCALIF_06296	21	20	1.0
TCALIF_06295	TCALIF_06295	2	16	0.117647058824
TCALIF_06294	TCALIF_06294	27	68	0.391304347826
TCALIF_06292	TCALIF_06292	3	18	0.157894736842
TCALIF_06291	TCALIF_06291	18	15	1.125
TCALIF_06290	TCALIF_06290	4	26	0.148148148148
TCALIF_12256	TCALIF_12256	0	14	0.0
TCALIF_12257	TCALIF_12257	0	10	0.0
TCALIF_12254	TCALIF_12254	7	38	0.179487179487
TCALIF_13029	TCALIF_13029	159	128	1.23255813953
TCALIF_15264	TCALIF_15264	34	38	0.871794871795
TCALIF_03110	TCALIF_03110	2	35	0.0555555555556
TCALIF_13022	TCALIF_13022	54	63	0.84375
TCALIF_13023	TCALIF_13023	2	51	0.0384615384615
TCALIF_03786	TCALIF_03786	6	18	0.315789473684
TCALIF_13026	TCALIF_13026	20	57	0.344827586207
TCALIF_13027	TCALIF_13027	24	71	0.333333333333
TCALIF_13024	TCALIF_13024	1	17	0.0555555555556
TCALIF_13025	TCALIF_13025	8	13	0.571428571429
TCALIF_12623	TCALIF_12623	8	20	0.380952380952
TCALIF_02047	TCALIF_02047	8	26	0.296296296296
TCALIF_12250	TCALIF_12250	14	6	2.0
TCALIF_12622	TCALIF_12622	5	56	0.0877192982456
TCALIF_12251	TCALIF_12251	23	48	0.469387755102
TCALIF_12621	TCALIF_12621	24	59	0.4
TCALIF_12620	TCALIF_12620	66	105	0.622641509434
TCALIF_03787	TCALIF_03787	19	20	0.904761904762
TCALIF_12627	TCALIF_12627	20	56	0.350877192982
TCALIF_02825	TCALIF_02825	16	42	0.372093023256
TCALIF_02060	TCALIF_02060	0	13	0.0
TCALIF_12626	TCALIF_12626	14	22	0.608695652174
TCALIF_01119	TCALIF_01119	4	14	0.266666666667
TCALIF_01118	TCALIF_01118	22	40	0.536585365854
TCALIF_12997	TCALIF_12997	2	16	0.117647058824
TCALIF_01449	TCALIF_01449	18	15	1.125
TCALIF_01111	TCALIF_01111	20	50	0.392156862745
TCALIF_01110	TCALIF_01110	12	75	0.157894736842
TCALIF_01113	TCALIF_01113	36	80	0.444444444444
TCALIF_12996	TCALIF_12996	28	38	0.717948717949
TCALIF_01115	TCALIF_01115	66	139	0.471428571429
TCALIF_01114	TCALIF_01114	19	27	0.678571428571
TCALIF_01117	TCALIF_01117	8	47	0.166666666667
TCALIF_01116	TCALIF_01116	10	26	0.37037037037
TCALIF_10618	TCALIF_10618	20	8	2.22222222222
TCALIF_10619	TCALIF_10619	28	49	0.56
TCALIF_03784	TCALIF_03784	4	19	0.2
TCALIF_11533	TCALIF_11533	35	201	0.173267326733
TCALIF_10610	TCALIF_10610	10	34	0.285714285714
TCALIF_10611	TCALIF_10611	2	24	0.08
TCALIF_10612	TCALIF_10612	14	12	1.07692307692
TCALIF_10613	TCALIF_10613	22	19	1.1
TCALIF_10614	TCALIF_10614	24	47	0.5
TCALIF_10615	TCALIF_10615	30	19	1.5
TCALIF_10616	TCALIF_10616	27	25	1.03846153846
TCALIF_10617	TCALIF_10617	22	59	0.366666666667
TCALIF_00866	TCALIF_00866	16	32	0.484848484848
TCALIF_00867	TCALIF_00867	4	16	0.235294117647
TCALIF_00864	TCALIF_00864	7	14	0.466666666667
TCALIF_00865	TCALIF_00865	2	11	0.166666666667
TCALIF_00862	TCALIF_00862	16	35	0.444444444444
TCALIF_03733	TCALIF_03733	46	86	0.528735632184
TCALIF_16478	TCALIF_16478	18	7	2.25
TCALIF_16479	TCALIF_16479	17	7	2.125
TCALIF_16476	TCALIF_16476	23	0	23.0
TCALIF_16477	TCALIF_16477	12	13	0.857142857143
TCALIF_16474	TCALIF_16474	4	36	0.108108108108
TCALIF_16475	TCALIF_16475	51	41	1.21428571429
TCALIF_16472	TCALIF_16472	6	19	0.3
TCALIF_16473	TCALIF_16473	24	53	0.444444444444
TCALIF_16470	TCALIF_16470	20	33	0.588235294118
TCALIF_16471	TCALIF_16471	2	2	0.666666666667
TCALIF_11809	TCALIF_11809	31	67	0.455882352941
TCALIF_11534	TCALIF_11534	23	29	0.766666666667
TCALIF_05774	TCALIF_05774	64	46	1.36170212766
TCALIF_16346	TCALIF_16346	40	76	0.519480519481
TCALIF_02827	TCALIF_02827	25	49	0.5
TCALIF_11535	TCALIF_11535	11	115	0.0948275862069
TCALIF_10841	TCALIF_10841	8	19	0.4
TCALIF_10642	TCALIF_10642	8	14	0.533333333333
TCALIF_10840	TCALIF_10840	19	28	0.655172413793
TCALIF_11662	TCALIF_11662	20	25	0.769230769231
TCALIF_15073	TCALIF_15073	3	10	0.272727272727
TCALIF_10843	TCALIF_10843	8	35	0.222222222222
TCALIF_10842	TCALIF_10842	20	28	0.689655172414
TCALIF_16347	TCALIF_16347	33	39	0.825
TCALIF_02820	TCALIF_02820	56	102	0.543689320388
TCALIF_14746	TCALIF_14746	31	37	0.815789473684
TCALIF_10844	TCALIF_10844	10	24	0.4
TCALIF_10641	TCALIF_10641	12	51	0.230769230769
TCALIF_14744	TCALIF_14744	78	48	1.59183673469
TCALIF_14745	TCALIF_14745	12	17	0.666666666667
TCALIF_16340	TCALIF_16340	5	10	0.454545454545
TCALIF_02044	TCALIF_02044	27	81	0.329268292683
TCALIF_04107	TCALIF_04107	10	30	0.322580645161
TCALIF_08737	TCALIF_08737	49	29	1.63333333333
TCALIF_08734	TCALIF_08734	6	24	0.24
TCALIF_08735	TCALIF_08735	8	32	0.242424242424
TCALIF_08732	TCALIF_08732	103	56	1.80701754386
TCALIF_08733	TCALIF_08733	49	70	0.69014084507
TCALIF_08731	TCALIF_08731	16	30	0.516129032258
TCALIF_15071	TCALIF_15071	2	3	0.5
TCALIF_13781	TCALIF_13781	55	32	1.66666666667
TCALIF_08738	TCALIF_08738	36	95	0.375
TCALIF_08739	TCALIF_08739	25	22	1.08695652174
TCALIF_00248	TCALIF_00248	10	25	0.384615384615
TCALIF_00249	TCALIF_00249	37	71	0.513888888889
TCALIF_00242	TCALIF_00242	9	48	0.183673469388
TCALIF_00243	TCALIF_00243	16	38	0.410256410256
TCALIF_00240	TCALIF_00240	24	53	0.444444444444
TCALIF_00241	TCALIF_00241	10	24	0.4
TCALIF_00246	TCALIF_00246	11	45	0.239130434783
TCALIF_00247	TCALIF_00247	18	22	0.782608695652
TCALIF_00244	TCALIF_00244	195	169	1.14705882353
TCALIF_00245	TCALIF_00245	23	41	0.547619047619
TCALIF_00331	TCALIF_00331	10	12	0.769230769231
TCALIF_14224	TCALIF_14224	4	4	0.8
TCALIF_12616	TCALIF_12616	6	14	0.4
TCALIF_01616	TCALIF_01616	33	91	0.358695652174
TCALIF_12614	TCALIF_12614	22	66	0.328358208955
TCALIF_12615	TCALIF_12615	0	24	0.0
TCALIF_12612	TCALIF_12612	12	53	0.222222222222
TCALIF_12613	TCALIF_12613	17	49	0.34
TCALIF_12610	TCALIF_12610	20	39	0.5
TCALIF_12611	TCALIF_12611	54	82	0.650602409639
TCALIF_03732	TCALIF_03732	271	279	0.967857142857
TCALIF_12968	TCALIF_12968	29	39	0.725
TCALIF_12969	TCALIF_12969	64	37	1.68421052632
TCALIF_12618	TCALIF_12618	27	88	0.303370786517
TCALIF_12619	TCALIF_12619	31	67	0.455882352941
TCALIF_14755	TCALIF_14755	4	27	0.142857142857
TCALIF_14754	TCALIF_14754	34	45	0.739130434783
TCALIF_14757	TCALIF_14757	29	44	0.644444444444
TCALIF_14756	TCALIF_14756	2	10	0.181818181818
TCALIF_14751	TCALIF_14751	28	77	0.358974358974
TCALIF_14750	TCALIF_14750	16	27	0.571428571429
TCALIF_14752	TCALIF_14752	7	21	0.318181818182
TCALIF_16573	TCALIF_16573	11	17	0.611111111111
TCALIF_14759	TCALIF_14759	2	8	0.222222222222
TCALIF_14758	TCALIF_14758	23	19	1.15
TCALIF_16343	TCALIF_16343	6	0	6.0
TCALIF_01613	TCALIF_01613	27	3	6.75
TCALIF_04354	TCALIF_04354	4	8	0.444444444444
TCALIF_01242	TCALIF_01242	35	104	0.333333333333
TCALIF_01810	TCALIF_01810	9	61	0.145161290323
TCALIF_01245	TCALIF_01245	19	45	0.413043478261
TCALIF_01963	TCALIF_01963	14	40	0.341463414634
TCALIF_05748	TCALIF_05748	23	32	0.69696969697
TCALIF_05749	TCALIF_05749	2	5	0.333333333333
TCALIF_04357	TCALIF_04357	3	19	0.15
TCALIF_01247	TCALIF_01247	33	182	0.180327868852
TCALIF_05218	TCALIF_05218	8	28	0.275862068966
TCALIF_02524	TCALIF_02524	49	68	0.710144927536
TCALIF_05216	TCALIF_05216	8	10	0.727272727273
TCALIF_05217	TCALIF_05217	8	19	0.4
TCALIF_05214	TCALIF_05214	45	107	0.416666666667
TCALIF_05215	TCALIF_05215	35	50	0.686274509804
TCALIF_05212	TCALIF_05212	24	495	0.0483870967742
TCALIF_05213	TCALIF_05213	1	5	0.166666666667
TCALIF_05210	TCALIF_05210	12	9	1.2
TCALIF_05211	TCALIF_05211	7	40	0.170731707317
TCALIF_08198	TCALIF_08198	12	39	0.3
TCALIF_08199	TCALIF_08199	36	26	1.33333333333
TCALIF_04352	TCALIF_04352	5	42	0.116279069767
TCALIF_04168	TCALIF_04168	22	57	0.379310344828
TCALIF_04167	TCALIF_04167	25	72	0.342465753425
TCALIF_04166	TCALIF_04166	0	10	0.0
TCALIF_04165	TCALIF_04165	31	21	1.40909090909
TCALIF_04353	TCALIF_04353	0	21	0.0
TCALIF_04163	TCALIF_04163	13	60	0.213114754098
TCALIF_04162	TCALIF_04162	0	2	0.0
TCALIF_04161	TCALIF_04161	60	52	1.1320754717
TCALIF_04160	TCALIF_04160	1	24	0.04
TCALIF_05735	TCALIF_05735	17	47	0.354166666667
TCALIF_16579	TCALIF_16579	26	23	1.08333333333
TCALIF_05734	TCALIF_05734	6	14	0.4
TCALIF_16578	TCALIF_16578	6	17	0.333333333333
TCALIF_03746	TCALIF_03746	11	26	0.407407407407
TCALIF_03747	TCALIF_03747	52	124	0.416
TCALIF_03744	TCALIF_03744	20	30	0.645161290323
TCALIF_03745	TCALIF_03745	2	137	0.0144927536232
TCALIF_13377.1	TCALIF_13377.1	37	38	0.948717948718
TCALIF_03743	TCALIF_03743	4	22	0.173913043478
TCALIF_03740	TCALIF_03740	14	18	0.736842105263
TCALIF_13377.2	TCALIF_13377.2	5	8	0.555555555556
TCALIF_14342	TCALIF_14342	120	161	0.740740740741
TCALIF_03748	TCALIF_03748	6	45	0.130434782609
TCALIF_03749	TCALIF_03749	8	45	0.173913043478
TCALIF_09025	TCALIF_09025	17	32	0.515151515152
TCALIF_09024	TCALIF_09024	40	107	0.37037037037
TCALIF_09027	TCALIF_09027	8	51	0.153846153846
TCALIF_09026	TCALIF_09026	56	79	0.7
TCALIF_09021	TCALIF_09021	50	137	0.36231884058
TCALIF_09020	TCALIF_09020	10	64	0.153846153846
TCALIF_09023	TCALIF_09023	29	34	0.828571428571
TCALIF_09022	TCALIF_09022	34	52	0.641509433962
TCALIF_14341	TCALIF_14341	159	200	0.791044776119
TCALIF_09029	TCALIF_09029	3	29	0.1
TCALIF_00820	TCALIF_00820	0	8	0.0
TCALIF_08992	TCALIF_08992	2	40	0.0487804878049
TCALIF_08993	TCALIF_08993	93	110	0.837837837838
TCALIF_08990	TCALIF_08990	24	42	0.558139534884
TCALIF_08991	TCALIF_08991	28	18	1.47368421053
TCALIF_08996	TCALIF_08996	18	60	0.295081967213
TCALIF_08997	TCALIF_08997	163	193	0.840206185567
TCALIF_08994	TCALIF_08994	27	43	0.613636363636
TCALIF_08995	TCALIF_08995	14	2	4.66666666667
TCALIF_08999	TCALIF_08999	38	52	0.716981132075
TCALIF_13567	TCALIF_13567	2	29	0.0666666666667
TCALIF_13566	TCALIF_13566	40	86	0.459770114943
TCALIF_13564	TCALIF_13564	15	66	0.223880597015
TCALIF_13563	TCALIF_13563	3	11	0.25
TCALIF_13562	TCALIF_13562	48	83	0.571428571429
TCALIF_13561	TCALIF_13561	15	28	0.51724137931
TCALIF_13560	TCALIF_13560	11	7	1.375
TCALIF_13569	TCALIF_13569	45	85	0.523255813953
TCALIF_13568	TCALIF_13568	42	30	1.35483870968
TCALIF_11705	TCALIF_11705	15	28	0.51724137931
TCALIF_11707	TCALIF_11707	17	45	0.369565217391
TCALIF_11706	TCALIF_11706	44	68	0.63768115942
TCALIF_11701	TCALIF_11701	100	124	0.8
TCALIF_11700	TCALIF_11700	4	4	0.8
TCALIF_11702	TCALIF_11702	7	25	0.269230769231
TCALIF_03548	TCALIF_03548	4	43	0.0909090909091
TCALIF_03370	TCALIF_03370	3	15	0.1875
TCALIF_11709	TCALIF_11709	25	90	0.274725274725
TCALIF_11708	TCALIF_11708	4	5	0.666666666667
TCALIF_15341	TCALIF_15341	24	10	2.18181818182
TCALIF_15340	TCALIF_15340	11	48	0.224489795918
TCALIF_05714	TCALIF_05714	18	41	0.428571428571
TCALIF_15343	TCALIF_15343	14	33	0.411764705882
TCALIF_15342	TCALIF_15342	11	9	1.1
TCALIF_15345	TCALIF_15345	23	43	0.522727272727
TCALIF_15344	TCALIF_15344	13	6	1.85714285714
TCALIF_13702	TCALIF_13702	345	117	2.92372881356
TCALIF_13701	TCALIF_13701	33	34	0.942857142857
TCALIF_13700	TCALIF_13700	16	48	0.326530612245
TCALIF_13707	TCALIF_13707	55	44	1.22222222222
TCALIF_15347	TCALIF_15347	12	15	0.75
TCALIF_13705	TCALIF_13705	22	36	0.594594594595
TCALIF_13704	TCALIF_13704	108	104	1.02857142857
TCALIF_13709	TCALIF_13709	10	20	0.47619047619
TCALIF_15346	TCALIF_15346	19	37	0.5
TCALIF_02888	TCALIF_02888	54	111	0.482142857143
TCALIF_09920	TCALIF_09920	6	8	0.666666666667
TCALIF_09921	TCALIF_09921	22	15	1.375
TCALIF_09922	TCALIF_09922	24	78	0.303797468354
TCALIF_02837	TCALIF_02837	64	123	0.516129032258
TCALIF_02836	TCALIF_02836	22	37	0.578947368421
TCALIF_02835	TCALIF_02835	21	76	0.272727272727
TCALIF_06841	TCALIF_06841	23	90	0.252747252747
TCALIF_02833	TCALIF_02833	20	55	0.357142857143
TCALIF_02832	TCALIF_02832	38	102	0.368932038835
TCALIF_02831	TCALIF_02831	20	34	0.571428571429
TCALIF_02830	TCALIF_02830	10	28	0.344827586207
TCALIF_05712	TCALIF_05712	93	366	0.25340599455
TCALIF_09924	TCALIF_09924	24	51	0.461538461538
TCALIF_02889	TCALIF_02889	13	26	0.481481481481
TCALIF_02839	TCALIF_02839	24	112	0.212389380531
TCALIF_05090	TCALIF_05090	8	41	0.190476190476
TCALIF_05091	TCALIF_05091	18	39	0.45
TCALIF_00270	TCALIF_00270	91	100	0.90099009901
TCALIF_09927	TCALIF_09927	2	62	0.031746031746
TCALIF_05092	TCALIF_05092	18	20	0.857142857143
TCALIF_17166	TCALIF_17166	7	10	0.636363636364
TCALIF_07462	TCALIF_07462	17	27	0.607142857143
TCALIF_07460	TCALIF_07460	10	37	0.263157894737
TCALIF_07467	TCALIF_07467	14	47	0.291666666667
TCALIF_05711	TCALIF_05711	39	48	0.795918367347
TCALIF_07464	TCALIF_07464	17	43	0.386363636364
TCALIF_07469	TCALIF_07469	4	52	0.0754716981132
TCALIF_07468	TCALIF_07468	66	102	0.640776699029
TCALIF_05547	TCALIF_05547	8	29	0.266666666667
TCALIF_06598	TCALIF_06598	6	100	0.0594059405941
TCALIF_06599	TCALIF_06599	41	30	1.32258064516
TCALIF_16283	TCALIF_16283	45	85	0.523255813953
TCALIF_16282	TCALIF_16282	28	19	1.4
TCALIF_16285	TCALIF_16285	19	18	1.0
TCALIF_05096	TCALIF_05096	6	18	0.315789473684
TCALIF_16287	TCALIF_16287	17	101	0.166666666667
TCALIF_16286	TCALIF_16286	6	20	0.285714285714
TCALIF_06590	TCALIF_06590	6	51	0.115384615385
TCALIF_06591	TCALIF_06591	40	66	0.597014925373
TCALIF_06592	TCALIF_06592	9	51	0.173076923077
TCALIF_06593	TCALIF_06593	2	10	0.181818181818
TCALIF_06594	TCALIF_06594	22	61	0.354838709677
TCALIF_06595	TCALIF_06595	50	58	0.847457627119
TCALIF_06596	TCALIF_06596	19	32	0.575757575758
TCALIF_06597	TCALIF_06597	7	22	0.304347826087
TCALIF_05710	TCALIF_05710	6	33	0.176470588235
TCALIF_10968	TCALIF_10968	1	4	0.2
TCALIF_05549	TCALIF_05549	0	21	0.0
TCALIF_05511	TCALIF_05511	28	49	0.56
TCALIF_05104	TCALIF_05104	2	32	0.0606060606061
TCALIF_05510	TCALIF_05510	28	35	0.777777777778
TCALIF_00479	TCALIF_00479	7	34	0.2
TCALIF_00478	TCALIF_00478	25	53	0.462962962963
TCALIF_00475	TCALIF_00475	7	31	0.21875
TCALIF_00474	TCALIF_00474	195	200	0.970149253731
TCALIF_00477	TCALIF_00477	12	16	0.705882352941
TCALIF_00476	TCALIF_00476	21	26	0.777777777778
TCALIF_00471	TCALIF_00471	25	30	0.806451612903
TCALIF_00470	TCALIF_00470	60	40	1.46341463415
TCALIF_00473	TCALIF_00473	5	12	0.384615384615
TCALIF_00472	TCALIF_00472	17	16	1.0
TCALIF_16864	TCALIF_16864	0	2	0.0
TCALIF_16867	TCALIF_16867	38	131	0.287878787879
TCALIF_16866	TCALIF_16866	65	80	0.802469135802
TCALIF_06338	TCALIF_06338	13	39	0.325
TCALIF_16860	TCALIF_16860	21	17	1.16666666667
TCALIF_16863	TCALIF_16863	17	17	0.944444444444
TCALIF_16862	TCALIF_16862	15	64	0.230769230769
TCALIF_06334	TCALIF_06334	34	46	0.723404255319
TCALIF_06335	TCALIF_06335	107	119	0.891666666667
TCALIF_06336	TCALIF_06336	88	143	0.611111111111
TCALIF_06337	TCALIF_06337	12	55	0.214285714286
TCALIF_16869	TCALIF_16869	65	12	5.0
TCALIF_16868	TCALIF_16868	24	5	4.0
TCALIF_06332	TCALIF_06332	6	28	0.206896551724
TCALIF_06333	TCALIF_06333	25	85	0.290697674419
TCALIF_02652	TCALIF_02652	40	23	1.66666666667
TCALIF_02651	TCALIF_02651	51	71	0.708333333333
TCALIF_02650	TCALIF_02650	67	86	0.770114942529
TCALIF_02656	TCALIF_02656	3	28	0.103448275862
TCALIF_02655	TCALIF_02655	67	136	0.489051094891
