Probe	Chromosome	Start	End	Probe Strand	No value	Feature	ID	Description	Feature Strand	Type	Orientation	Distance	cmh_window_geomean_sigonly_forseqmonk
ChrChromosome_2:2700000-2710000	Chromosome_2	2700000	2710000		NaN	TCALIF_06997	TCALIF_06997	No description	-	CDS	overlapping	0	1.0
ChrChromosome_2:2720000-2730000	Chromosome_2	2720000	2730000		NaN	TCALIF_04538	TCALIF_04538	No description	-	CDS	overlapping	0	1.0
ChrChromosome_2:2730000-2740000	Chromosome_2	2730000	2740000		NaN	TCALIF_04535	TCALIF_04535	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:2740000-2750000	Chromosome_2	2740000	2750000		NaN	TCALIF_04533	TCALIF_04533	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:2750000-2760000	Chromosome_2	2750000	2760000		NaN	TCALIF_04533	TCALIF_04533	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:2780000-2790000	Chromosome_2	2780000	2790000		NaN	TCALIF_04528	TCALIF_04528	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:2790000-2800000	Chromosome_2	2790000	2800000		NaN	TCALIF_04528	TCALIF_04528	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:2820000-2830000	Chromosome_2	2820000	2830000		NaN	TCALIF_16833	TCALIF_16833	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:2830000-2840000	Chromosome_2	2830000	2840000		NaN	TCALIF_16833	TCALIF_16833	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:2860000-2870000	Chromosome_2	2860000	2870000		NaN	TCALIF_04526	TCALIF_04526	No description	-	CDS	overlapping	0	1.0
ChrChromosome_2:2880000-2890000	Chromosome_2	2880000	2890000		NaN	TCALIF_16835	TCALIF_16835	No description	-	CDS	overlapping	0	1.0
ChrChromosome_2:2890000-2900000	Chromosome_2	2890000	2900000		NaN	TCALIF_15580	TCALIF_15580	No description	-	CDS	overlapping	0	1.0
ChrChromosome_2:2920000-2930000	Chromosome_2	2920000	2930000		NaN	TCALIF_04520	TCALIF_04520	No description	-	CDS	overlapping	0	1.0
ChrChromosome_2:3000000-3010000	Chromosome_2	3000000	3010000		NaN	TCALIF_04512	TCALIF_04512	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:3030000-3040000	Chromosome_2	3030000	3040000		NaN	TCALIF_04509	TCALIF_04509	No description	+	CDS	overlapping	0	1.0
ChrChromosome_2:3070000-3080000	Chromosome_2	3070000	3080000		NaN	TCALIF_04507	TCALIF_04507	No description	+	CDS	overlapping	0	1.0
ChrChromosome_3:10160000-10170000	Chromosome_3	10160000	10170000		NaN	TCALIF_02229	TCALIF_02229	No description	-	CDS	overlapping	0	1.0
ChrChromosome_3:10380000-10390000	Chromosome_3	10380000	10390000		NaN	TCALIF_02210	TCALIF_02210	No description	+	CDS	overlapping	0	1.0
ChrChromosome_3:10390000-10400000	Chromosome_3	10390000	10400000		NaN	TCALIF_15721	TCALIF_15721	No description	-	CDS	overlapping	0	1.0
ChrChromosome_3:10570000-10580000	Chromosome_3	10570000	10580000		NaN	TCALIF_02194	TCALIF_02194	No description	+	CDS	overlapping	0	1.0
ChrChromosome_3:14360000-14370000	Chromosome_3	14360000	14370000		NaN	TCALIF_07763	TCALIF_07763	No description	+	CDS	overlapping	0	1.0
ChrChromosome_3:14370000-14380000	Chromosome_3	14370000	14380000		NaN	TCALIF_07763	TCALIF_07763	No description	+	CDS	overlapping	0	1.0
ChrChromosome_3:14440000-14450000	Chromosome_3	14440000	14450000		NaN	TCALIF_07759	TCALIF_07759	No description	+	CDS	overlapping	0	1.0
ChrChromosome_3:14490000-14500000	Chromosome_3	14490000	14500000		NaN	TCALIF_13050	TCALIF_13050	No description	+	CDS	overlapping	0	1.0
ChrChromosome_3:14590000-14600000	Chromosome_3	14590000	14600000		NaN	TCALIF_16895	TCALIF_16895	No description	-	CDS	overlapping	0	1.0
ChrChromosome_3:14700000-14710000	Chromosome_3	14700000	14710000		NaN	TCALIF_13729	TCALIF_13729	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9070000-9080000	Chromosome_4	9070000	9080000		NaN	TCALIF_03431	TCALIF_03431	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9120000-9130000	Chromosome_4	9120000	9130000		NaN	TCALIF_03436	TCALIF_03436	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9130000-9140000	Chromosome_4	9130000	9140000		NaN	TCALIF_03437	TCALIF_03437	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9140000-9150000	Chromosome_4	9140000	9150000		NaN	TCALIF_03438	TCALIF_03438	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9160000-9170000	Chromosome_4	9160000	9170000		NaN	TCALIF_03442	TCALIF_03442	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9330000-9340000	Chromosome_4	9330000	9340000		NaN	TCALIF_03449	TCALIF_03449	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9360000-9370000	Chromosome_4	9360000	9370000		NaN	TCALIF_03452	TCALIF_03452	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9380000-9390000	Chromosome_4	9380000	9390000		NaN	TCALIF_03454	TCALIF_03454	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9400000-9410000	Chromosome_4	9400000	9410000		NaN	TCALIF_03459	TCALIF_03459	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9460000-9470000	Chromosome_4	9460000	9470000		NaN	TCALIF_03466	TCALIF_03466	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9560000-9570000	Chromosome_4	9560000	9570000		NaN	TCALIF_03470	TCALIF_03470	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9590000-9600000	Chromosome_4	9590000	9600000		NaN	TCALIF_03475	TCALIF_03475	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9630000-9640000	Chromosome_4	9630000	9640000		NaN	TCALIF_03478	TCALIF_03478	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9640000-9650000	Chromosome_4	9640000	9650000		NaN	TCALIF_03480	TCALIF_03480	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9650000-9660000	Chromosome_4	9650000	9660000		NaN	TCALIF_03482	TCALIF_03482	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9690000-9700000	Chromosome_4	9690000	9700000		NaN	TCALIF_16964	TCALIF_16964	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9710000-9720000	Chromosome_4	9710000	9720000		NaN	TCALIF_16964	TCALIF_16964	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9720000-9730000	Chromosome_4	9720000	9730000		NaN	TCALIF_13578	TCALIF_13578	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9750000-9760000	Chromosome_4	9750000	9760000		NaN	TCALIF_13577	TCALIF_13577	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9800000-9810000	Chromosome_4	9800000	9810000		NaN	TCALIF_15893	TCALIF_15893	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9810000-9820000	Chromosome_4	9810000	9820000		NaN	TCALIF_11470	TCALIF_11470	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9830000-9840000	Chromosome_4	9830000	9840000		NaN	TCALIF_15894	TCALIF_15894	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9850000-9860000	Chromosome_4	9850000	9860000		NaN	TCALIF_11471	TCALIF_11471	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9860000-9870000	Chromosome_4	9860000	9870000		NaN	TCALIF_11472	TCALIF_11472	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9870000-9880000	Chromosome_4	9870000	9880000		NaN	TCALIF_11472	TCALIF_11472	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9880000-9890000	Chromosome_4	9880000	9890000		NaN	TCALIF_11475	TCALIF_11475	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9910000-9920000	Chromosome_4	9910000	9920000		NaN	TCALIF_15812	TCALIF_15812	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9920000-9930000	Chromosome_4	9920000	9930000		NaN	TCALIF_11476	TCALIF_11476	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:9940000-9950000	Chromosome_4	9940000	9950000		NaN	TCALIF_11479	TCALIF_11479	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:9970000-9980000	Chromosome_4	9970000	9980000		NaN	TCALIF_12084	TCALIF_12084	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10000000-10010000	Chromosome_4	10000000	10010000		NaN	TCALIF_12088	TCALIF_12088	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10010000-10020000	Chromosome_4	10010000	10020000		NaN	TCALIF_12088	TCALIF_12088	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10050000-10060000	Chromosome_4	10050000	10060000		NaN	TCALIF_09080	TCALIF_09080	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10060000-10070000	Chromosome_4	10060000	10070000		NaN	TCALIF_09078	TCALIF_09078	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10070000-10080000	Chromosome_4	10070000	10080000		NaN	TCALIF_09076	TCALIF_09076	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10090000-10100000	Chromosome_4	10090000	10100000		NaN	TCALIF_09075	TCALIF_09075	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10110000-10120000	Chromosome_4	10110000	10120000		NaN	TCALIF_09073	TCALIF_09073	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10120000-10130000	Chromosome_4	10120000	10130000		NaN	TCALIF_15816	TCALIF_15816	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10130000-10140000	Chromosome_4	10130000	10140000		NaN	TCALIF_15816	TCALIF_15816	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10140000-10150000	Chromosome_4	10140000	10150000		NaN	TCALIF_14664	TCALIF_14664	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10170000-10180000	Chromosome_4	10170000	10180000		NaN	TCALIF_09069	TCALIF_09069	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10220000-10230000	Chromosome_4	10220000	10230000		NaN	TCALIF_09067	TCALIF_09067	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10350000-10360000	Chromosome_4	10350000	10360000		NaN	TCALIF_03074	TCALIF_03074	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10360000-10370000	Chromosome_4	10360000	10370000		NaN	TCALIF_03074	TCALIF_03074	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10370000-10380000	Chromosome_4	10370000	10380000		NaN	TCALIF_03075	TCALIF_03075	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10390000-10400000	Chromosome_4	10390000	10400000		NaN	TCALIF_03078	TCALIF_03078	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10410000-10420000	Chromosome_4	10410000	10420000		NaN	TCALIF_15789	TCALIF_15789	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10430000-10440000	Chromosome_4	10430000	10440000		NaN	TCALIF_03081	TCALIF_03081	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10440000-10450000	Chromosome_4	10440000	10450000		NaN	TCALIF_03082	TCALIF_03082	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10450000-10460000	Chromosome_4	10450000	10460000		NaN	TCALIF_03083	TCALIF_03083	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10470000-10480000	Chromosome_4	10470000	10480000		NaN	TCALIF_03084	TCALIF_03084	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10490000-10500000	Chromosome_4	10490000	10500000		NaN	TCALIF_03087	TCALIF_03087	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10500000-10510000	Chromosome_4	10500000	10510000		NaN	TCALIF_03088	TCALIF_03088	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10510000-10520000	Chromosome_4	10510000	10520000		NaN	TCALIF_03090	TCALIF_03090	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10520000-10530000	Chromosome_4	10520000	10530000		NaN	TCALIF_03090	TCALIF_03090	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10530000-10540000	Chromosome_4	10530000	10540000		NaN	TCALIF_03091	TCALIF_03091	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10540000-10550000	Chromosome_4	10540000	10550000		NaN	TCALIF_15790	TCALIF_15790	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10550000-10560000	Chromosome_4	10550000	10560000		NaN	TCALIF_15790	TCALIF_15790	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10570000-10580000	Chromosome_4	10570000	10580000		NaN	TCALIF_15819	TCALIF_15819	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10590000-10600000	Chromosome_4	10590000	10600000		NaN	TCALIF_03094	TCALIF_03094	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10600000-10610000	Chromosome_4	10600000	10610000		NaN	TCALIF_03094	TCALIF_03094	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10610000-10620000	Chromosome_4	10610000	10620000		NaN	TCALIF_03094	TCALIF_03094	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10620000-10630000	Chromosome_4	10620000	10630000		NaN	TCALIF_03095	TCALIF_03095	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10630000-10640000	Chromosome_4	10630000	10640000		NaN	TCALIF_03096	TCALIF_03096	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10640000-10650000	Chromosome_4	10640000	10650000		NaN	TCALIF_03097	TCALIF_03097	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10690000-10700000	Chromosome_4	10690000	10700000		NaN	TCALIF_03101	TCALIF_03101	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10710000-10720000	Chromosome_4	10710000	10720000		NaN	TCALIF_15820	TCALIF_15820	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10740000-10750000	Chromosome_4	10740000	10750000		NaN	TCALIF_03106	TCALIF_03106	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10750000-10760000	Chromosome_4	10750000	10760000		NaN	TCALIF_03106	TCALIF_03106	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10760000-10770000	Chromosome_4	10760000	10770000		NaN	TCALIF_03106	TCALIF_03106	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:10770000-10780000	Chromosome_4	10770000	10780000		NaN	TCALIF_03107	TCALIF_03107	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:10790000-10800000	Chromosome_4	10790000	10800000		NaN	TCALIF_03108	TCALIF_03108	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:11890000-11900000	Chromosome_4	11890000	11900000		NaN	TCALIF_05513	TCALIF_05513	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:11900000-11910000	Chromosome_4	11900000	11910000		NaN	TCALIF_05516	TCALIF_05516	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:11910000-11920000	Chromosome_4	11910000	11920000		NaN	TCALIF_05516	TCALIF_05516	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:11920000-11930000	Chromosome_4	11920000	11930000		NaN	TCALIF_05517	TCALIF_05517	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:11930000-11940000	Chromosome_4	11930000	11940000		NaN	TCALIF_05518	TCALIF_05518	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:11940000-11950000	Chromosome_4	11940000	11950000		NaN	TCALIF_05519	TCALIF_05519	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:11950000-11960000	Chromosome_4	11950000	11960000		NaN	TCALIF_05519	TCALIF_05519	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:11960000-11970000	Chromosome_4	11960000	11970000		NaN	TCALIF_05521	TCALIF_05521	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12070000-12080000	Chromosome_4	12070000	12080000		NaN	TCALIF_13158	TCALIF_13158	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:12080000-12090000	Chromosome_4	12080000	12090000		NaN	TCALIF_13157	TCALIF_13157	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12120000-12130000	Chromosome_4	12120000	12130000		NaN	TCALIF_08062	TCALIF_08062	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:12130000-12140000	Chromosome_4	12130000	12140000		NaN	TCALIF_08062	TCALIF_08062	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:12160000-12170000	Chromosome_4	12160000	12170000		NaN	TCALIF_08061	TCALIF_08061	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12170000-12180000	Chromosome_4	12170000	12180000		NaN	TCALIF_08061	TCALIF_08061	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12180000-12190000	Chromosome_4	12180000	12190000		NaN	TCALIF_15834	TCALIF_15834	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12210000-12220000	Chromosome_4	12210000	12220000		NaN	TCALIF_15793	TCALIF_15793	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12230000-12240000	Chromosome_4	12230000	12240000		NaN	TCALIF_15835	TCALIF_15835	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12260000-12270000	Chromosome_4	12260000	12270000		NaN	TCALIF_08056	TCALIF_08056	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12270000-12280000	Chromosome_4	12270000	12280000		NaN	TCALIF_08056	TCALIF_08056	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12300000-12310000	Chromosome_4	12300000	12310000		NaN	TCALIF_08054	TCALIF_08054	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:12310000-12320000	Chromosome_4	12310000	12320000		NaN	TCALIF_08053	TCALIF_08053	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12320000-12330000	Chromosome_4	12320000	12330000		NaN	TCALIF_08053	TCALIF_08053	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12350000-12360000	Chromosome_4	12350000	12360000		NaN	TCALIF_08052	TCALIF_08052	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12370000-12380000	Chromosome_4	12370000	12380000		NaN	TCALIF_08051	TCALIF_08051	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12380000-12390000	Chromosome_4	12380000	12390000		NaN	TCALIF_08050	TCALIF_08050	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:12390000-12400000	Chromosome_4	12390000	12400000		NaN	TCALIF_08049	TCALIF_08049	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:12410000-12420000	Chromosome_4	12410000	12420000		NaN	TCALIF_08047	TCALIF_08047	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12420000-12430000	Chromosome_4	12420000	12430000		NaN	TCALIF_08046	TCALIF_08046	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:12430000-12440000	Chromosome_4	12430000	12440000		NaN	TCALIF_08043	TCALIF_08043	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:12480000-12490000	Chromosome_4	12480000	12490000		NaN	TCALIF_08041	TCALIF_08041	No description	-	CDS	overlapping	0	1.0
ChrChromosome_4:12600000-12610000	Chromosome_4	12600000	12610000		NaN	TCALIF_07822	TCALIF_07822	No description	+	CDS	overlapping	0	1.0
ChrChromosome_4:13320000-13330000	Chromosome_4	13320000	13330000		NaN	TCALIF_05146	TCALIF_05146	No description	-	CDS	overlapping	0	1.0
ChrChromosome_5:320000-330000	Chromosome_5	320000	330000		NaN	TCALIF_12881	TCALIF_12881	No description	-	CDS	overlapping	0	1.0
ChrChromosome_5:390000-400000	Chromosome_5	390000	400000		NaN	TCALIF_15978	TCALIF_15978	No description	+	CDS	overlapping	0	1.0
ChrChromosome_5:4290000-4300000	Chromosome_5	4290000	4300000		NaN	TCALIF_03487	TCALIF_03487	No description	-	CDS	overlapping	0	1.0
ChrChromosome_5:4680000-4690000	Chromosome_5	4680000	4690000		NaN	TCALIF_15980	TCALIF_15980	No description	-	CDS	overlapping	0	1.0
ChrChromosome_5:5000000-5010000	Chromosome_5	5000000	5010000		NaN	TCALIF_11562	TCALIF_11562	No description	-	CDS	overlapping	0	1.0
ChrChromosome_5:5250000-5260000	Chromosome_5	5250000	5260000		NaN	TCALIF_12509	TCALIF_12509	No description	-	CDS	overlapping	0	1.0
ChrChromosome_5:5280000-5290000	Chromosome_5	5280000	5290000		NaN	TCALIF_13850	TCALIF_13850	No description	+	CDS	overlapping	0	1.0
ChrChromosome_5:5610000-5620000	Chromosome_5	5610000	5620000		NaN	TCALIF_06954	TCALIF_06954	No description	-	CDS	overlapping	0	1.0
ChrChromosome_5:5840000-5850000	Chromosome_5	5840000	5850000		NaN	TCALIF_11830	TCALIF_11830	No description	+	CDS	overlapping	0	1.0
ChrChromosome_5:5900000-5910000	Chromosome_5	5900000	5910000		NaN	TCALIF_15991	TCALIF_15991	No description	+	CDS	overlapping	0	1.0
ChrChromosome_5:6250000-6260000	Chromosome_5	6250000	6260000		NaN	TCALIF_06322	TCALIF_06322	No description	+	CDS	overlapping	0	1.0
ChrChromosome_5:7060000-7070000	Chromosome_5	7060000	7070000		NaN	TCALIF_00089	TCALIF_00089	No description	+	CDS	overlapping	0	1.0
ChrChromosome_5:12220000-12230000	Chromosome_5	12220000	12230000		NaN	TCALIF_08558	TCALIF_08558	No description	+	CDS	overlapping	0	1.0
ChrChromosome_5:12440000-12450000	Chromosome_5	12440000	12450000		NaN	TCALIF_06379	TCALIF_06379	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:8250000-8260000	Chromosome_6	8250000	8260000		NaN	TCALIF_07080	TCALIF_07080	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:8260000-8270000	Chromosome_6	8260000	8270000		NaN	TCALIF_07080	TCALIF_07080	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:8270000-8280000	Chromosome_6	8270000	8280000		NaN	TCALIF_07080	TCALIF_07080	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:8280000-8290000	Chromosome_6	8280000	8290000		NaN	TCALIF_07079	TCALIF_07079	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:8290000-8300000	Chromosome_6	8290000	8300000		NaN	TCALIF_07078	TCALIF_07078	No description	+	CDS	overlapping	0	1.0
ChrChromosome_6:8360000-8370000	Chromosome_6	8360000	8370000		NaN	TCALIF_07073	TCALIF_07073	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:8380000-8390000	Chromosome_6	8380000	8390000		NaN	TCALIF_07071	TCALIF_07071	No description	-	CDS	overlapping	0	1.0
